2024-08-14 09:12:10 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 09:13:41 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 09:13:41 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 09:13:41 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 09:15:07 - INFO - fall: 1.8882072927923623, pred: 0.03555513404224975
2024-08-14 22:55:15 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 22:55:15 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 22:55:15 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-14 22:56:57 - INFO - fall: 2.749105315645565, pred: 0.6879331988406552
2024-08-14 22:57:36 - INFO - fall: 1.3204150210009473, pred: 0.01092764058630813
2024-08-14 22:58:15 - INFO - fall: 5.841310130478384, pred: 0.11888245169673972
2024-08-14 22:58:56 - INFO - fall: 0.971308779888588, pred: 6.182658503165337
2024-08-15 22:57:49 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-15 22:57:49 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
2024-08-15 22:57:49 - WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
